Name,Team,Salary,WAR
MarcoGonzales,SEA,"900,000",0.2
JohnRyanMurphy,ARI,"900,000",0.2
Ji-ManChoi,TB,"850,000",1.1
GuillermoHeredia,TB,"782,000",0.4
AndrewBenintendi,BOS,"717,500",0.9
JoshHader,MIL,"687,600",2.69
AaronJudge,NYY,"684,300",3.6
WillsonContreras,CHC,"684,000",1.7
NikoGoodrum,DET,"670,500",1.6
GarySanchez,NYY,"669,800",2.4
ShoheiOhtani,LAA,"650,000",0.8
AlexBregman,HOU,"640,500",8.6
JesusAguilar,MIL,"637,500",0.1
AlbertAlmora,CHC,"615,500",0.2
RafaelDevers,BOS,"614,500",5.6
JoeyGallo,TEX,"605,500",2.6
GleyberTorres,NYY,"605,200",3.9
CodyBellinger,LAD,"605,000",8.0
BrandonNimmo,NYM,"598,285",0.9
RossStripling,LAD,"595,000",2.37
MaxStassi,HOU,"590,100",0.6
MitchHaniger,SEA,"590,100",1.4
JoshBell,PIT,"587,000",2.0
BrianAnderson,MIA,"585,000",3.1
DansbySwanson,ATL,"585,000",2.7
AdamFrazier,PIT,"584,000",1.1
TonyKemp,HOU,"583,600",0.5
BrianGoodwin,LAA,"583,500",0.9
JoeMusgrove,PIT,"582,500",4.12
RobertGsellman,NYM,"582,500",0.45
HunterRenfroe,SD,"582,100",1.6
MattStrahm,SD,"581,700",1.79
OmarNarvaez,SEA,"581,200",2.3
WilmerDifo,WAS,"581,100",0.1
JesseWinker,CIN,"580,000",2.2
MattChapman,OAK,"580,000",5.2
LukeMaile,TOR,"579,000",0.62
LuisCessa,NYY,"578,975",0.57
TeoscarHernandez,TOR,"578,600",2.4
MallexSmith,SEA,"578,400",0.3
JuanSoto,WAS,"578,300",4.9
HarrisonBader,STL,"578,300",2.5
HanserAlberto,BAL,"578,000",2.0
ManuelMargot,SD,"577,100",0.5
ErikGonzalez,PIT,"577,000",0.1
AdalbertoMondesi,KC,"576,000",1.6
TreyMancini,BAL,"575,500",2.8
AmedRosario,NYM,"575,500",2.3
YoanMoncada,CWS,"575,000",5.1
RhysHoskins,PHI,"575,000",2.4
MattOlson,OAK,"575,000",4.1
MaxMuncy,LAD,"575,000",5.1
MitchGarver,MIN,"575,000",4.4
AustinBarnes,LAD,"575,000",1.6
JohanCamargo,ATL,"575,000",0.3
TylerNaquin,CLE,"574,800",2.0
StevenBrault,PIT,"574,500",2.11
JoseOsuna,PIT,"573,500",0.6
LukeVoit,NYY,"573,200",1.3
LucasGiolito,CWS,"573,000",5.78
JakeCave,MIN,"572,500",0.3
JohnGant,STL,"571,300",0.85
FranmilReyes,SD,"570,500",2.1
JoeyWendle,TB,"570,400",0.6
DanielRobertson,TB,"570,300",0.1
JorgeAlfaro,MIA,"570,000",1.1
VictorCaratini,CHC,"569,500",1.5
RonaldGuzman,TEX,"569,500",0.3
JohnBrebbia,STL,"569,300",1.12
TylerAustin,MIN,"568,600",0.4
JeffMcNeil,NYM,"567,714",2.5
BenGamel,MIL,"567,700",0.1
ChrisStratton,LAA,"567,500",0.57
HunterDozier,KC,"567,225",3.0
OrlandoArcia,MIL,"565,700",0.5
DylanMoore,SEA,"565,000",0.4
ChadPinder,OAK,"565,000",0.7
AndrewKnapp,PHI,"565,000",0.2
MaxFried,ATL,"565,000",4.61
JordanLuplow,CLE,"564,500",1.9
JacobStallings,PIT,"564,000",2.3
CorbinBurnes,MIL,"562,800",0.37
WillyAdames,TB,"562,400",3.8
JorgeLopez,KC,"562,250",0.2
JackFlaherty,STL,"562,100",7.49
RenatoNunez,BAL,"562,000",0.6
DavidBote,CHC,"561,500",1.6
DavidFletcher,LAA,"561,500",2.5
J.D.Davis,NYM,"561,420",2.1
GregAllen,CLE,"560,400",0.4
RyanMcMahon,COL,"560,000",1.7
AntonioSenzatela,COL,"560,000",0.2
RaimelTapia,COL,"560,000",0.1
CalebFerguson,LAD,"560,000",0.33
AlexVerdugo,LAD,"560,000",1.7
WilliansAstudill,MIN,"560,000",0.4
DavidDahl,COL,"560,000",1.3
CarsonKelly,ARI,"560,000",2.5
ChristianWalker,ARI,"559,800",3.1
DominicSmith,NYM,"559,320",0.9
DakotaHudson,STL,"559,100",2.63
DannyJansen,TOR,"558,700",2.2
DanielVogelbach,SEA,"558,600",1.6
RioRuiz,BAL,"558,500",0.6
YandyDiaz,TB,"558,400",1.2
VictorRobles,WAS,"557,800",2.3
RowdyTellez,TOR,"557,500",0.5
MichaelReed,SF,"557,500",0.1
AlexBlandino,CIN,"557,500",0.1
LuisCastillo,CIN,"557,500",5.9
KevinNewman,PIT,"557,500",2.8
RamonLaureano,OAK,"557,500",4.2
AustinMeadows,TB,"557,400",3.7
CamGallagher,KC,"557,125",0.9
MikeTauchman,NYY,"557,000",1.9
GarrettHampson,COL,"557,000",0.1
IldemaroVargas,ARI,"557,000",0.6
MichaelPerez,TB,"556,700",0.1
JalenBeeks,TB,"556,500",0.1
FranciscoMejia,SD,"556,300",1.0
TomasNido,NYM,"556,300",0.3
LuisGuillorme,NYM,"555,960",0.2
TroyTulowitzki,NYY,"555,000",0.1
PabloSandoval,SF,"555,000",0.4
ChrisPaddack,SD,"555,000",4.06
FernandoTatisJr,SD,"555,000",3.4
ConnorJoe,SF,"555,000",0.2
GarrettCooper,MIA,"555,000",1.2
ChadWallach,MIA,"555,000",0.2
PeteAlonso,NYM,"555,000",5.3
